SELECT,SEND_HELLO,RECEIVE_HELLO,RANGE,CERT,AUTH,FINISH,PARALLEL_RANGING,TOTAL
37.20,55.82,0.31,4.65,54.63,51.12,0.20,39.00,203.93,
36.00,55.82,0.26,4.58,57.08,50.92,0.15,26.30,204.82,
26.60,44.34,0.23,5.46,58.55,43.42,0.15,29.02,178.76,
30.97,49.48,0.21,3.77,57.20,43.32,0.16,38.46,185.09,
35.79,58.11,0.33,4.96,55.02,42.85,0.15,25.23,197.22,
36.08,56.40,0.26,4.77,47.99,48.69,0.15,27.07,194.35,
35.27,58.23,0.75,5.19,55.39,50.00,0.21,37.17,205.04,
33.49,59.23,0.28,5.14,54.18,47.28,0.14,25.36,199.76,
31.29,58.40,0.19,3.33,57.73,50.78,0.21,27.35,201.93,
37.10,59.85,0.28,4.57,64.07,50.14,0.11,39.11,216.12,
28.68,56.19,0.25,4.59,57.61,40.96,0.12,27.10,188.40,
35.60,58.11,0.38,5.14,51.06,40.48,0.06,27.29,190.83,
31.65,58.96,0.17,2.90,56.92,45.13,0.16,39.12,195.89,
31.02,58.79,0.20,4.64,52.65,39.02,0.23,25.25,186.54,
30.31,59.01,0.28,4.58,55.46,43.07,0.44,26.41,193.16,
31.85,60.40,0.27,5.31,51.80,42.86,0.19,35.83,192.68,
33.26,59.79,0.29,5.15,54.47,51.15,0.20,25.08,204.32,
35.97,55.58,0.35,4.97,56.72,52.47,0.17,28.65,206.23,
23.92,60.14,0.30,5.33,50.96,43.54,0.10,36.02,184.30,
26.43,60.53,0.27,4.14,54.82,49.95,0.19,26.25,196.34,
40.22,54.81,0.32,5.04,55.30,50.06,0.16,26.29,205.91,
27.74,57.96,0.24,4.87,56.71,48.52,0.15,40.97,196.18,
27.01,48.09,0.22,4.28,56.58,51.08,0.12,26.66,187.39,
25.21,56.77,0.26,4.24,58.82,49.58,0.16,25.94,195.03,
27.52,45.09,0.45,4.33,57.03,50.62,0.16,36.95,185.19,
26.94,59.53,0.33,4.55,57.36,50.95,0.22,26.25,199.87,
37.27,68.77,0.33,4.97,54.02,42.98,0.22,28.01,208.56,
32.83,58.25,0.30,4.60,54.30,54.73,0.24,37.93,205.27,
32.24,56.67,0.30,4.47,57.08,41.60,0.13,29.04,192.48,
35.07,59.31,0.25,3.84,57.55,48.73,0.15,29.40,204.90,
30.01,58.80,0.39,4.11,58.72,50.04,0.21,38.48,202.28,
31.96,58.87,0.29,5.02,53.68,52.38,0.28,24.48,202.48,
37.31,58.74,0.30,5.27,57.42,54.50,0.26,26.59,213.80,
28.57,56.45,0.27,4.38,54.37,42.65,0.21,34.87,186.90,
37.09,56.40,0.31,4.69,54.33,50.07,0.21,23.52,203.10,
31.00,57.47,0.32,5.12,49.72,44.84,0.17,24.86,188.64,
35.90,57.47,0.27,4.52,52.57,48.35,0.16,37.50,199.24,
31.85,56.07,0.13,3.69,55.43,51.32,0.90,24.29,199.39,
29.94,58.62,0.25,3.24,51.51,41.94,0.13,26.52,185.61,
40.43,57.22,0.17,2.31,61.86,49.12,0.18,38.22,211.29,
33.36,46.70,0.25,4.41,60.45,50.54,0.17,26.19,195.87,
34.47,59.34,0.24,4.60,52.80,49.49,0.18,30.25,201.12,
28.88,47.37,0.25,5.21,55.42,41.86,0.17,37.87,179.16,
36.61,59.40,0.28,5.21,52.66,43.92,0.17,24.51,198.25,
30.69,58.58,0.25,4.93,56.97,48.31,0.26,26.56,199.99,
26.32,62.34,0.26,5.26,53.62,49.68,0.18,37.00,197.65,
26.80,59.72,0.25,4.82,52.33,45.84,0.30,25.80,190.05,
31.91,57.92,0.23,4.31,55.43,50.69,0.20,28.50,200.68,
39.22,59.29,0.41,5.59,55.58,49.23,0.20,36.79,209.53,
35.80,56.52,0.23,4.40,54.08,46.68,0.10,27.62,197.81,
33.96,57.09,0.26,3.94,59.64,53.23,0.23,27.06,208.34,
30.72,58.60,0.31,4.94,55.12,54.43,0.21,38.85,204.34,
32.66,59.53,0.29,4.47,57.92,50.78,0.26,25.34,205.91,
33.46,47.00,0.26,5.48,54.01,44.14,0.23,27.41,184.58,
33.59,55.09,0.26,4.61,58.30,51.01,0.17,39.22,203.03,
37.65,57.94,0.36,4.80,54.07,50.42,0.17,22.53,205.40,
28.21,55.89,0.27,5.25,56.84,52.47,0.40,26.06,199.34,
34.79,56.04,0.30,4.53,54.92,50.18,0.22,40.36,200.99,
31.21,56.50,0.29,3.92,53.86,44.54,0.16,25.68,190.49,
35.11,58.84,0.31,4.31,50.43,41.67,0.06,28.68,190.72,
29.41,60.62,0.28,4.25,55.64,49.28,0.20,39.99,199.68,
34.60,61.64,0.30,4.19,53.89,48.60,0.16,25.32,203.38,
25.36,48.10,0.27,4.53,55.87,44.08,0.17,27.78,178.37,
29.30,60.73,0.28,4.79,57.20,51.00,0.19,37.50,203.49,
32.90,61.56,0.28,4.07,49.61,43.57,0.22,25.19,192.20,
37.27,59.17,0.39,4.67,53.42,48.67,0.17,26.05,203.76,
25.41,66.26,0.28,4.44,62.70,42.90,0.18,38.89,202.18,
35.07,57.33,0.29,4.61,53.74,49.43,0.95,26.88,201.43,
24.00,47.20,0.22,4.68,58.34,50.07,0.26,25.54,184.76,
38.48,60.42,0.25,4.44,61.76,50.35,0.14,38.50,215.83,
28.39,54.85,0.15,2.18,63.01,52.17,0.21,26.89,200.96,
33.68,58.73,0.28,4.66,54.28,45.43,0.23,26.32,197.28,
33.71,67.60,0.27,4.53,55.64,51.18,0.17,38.42,213.10,
37.34,59.24,0.31,5.41,67.01,48.24,0.16,27.68,217.72,
25.97,59.21,0.29,4.52,56.27,49.11,0.16,26.13,195.53,
25.22,45.11,0.27,4.80,55.55,52.22,0.29,35.05,183.46,
33.70,49.78,0.22,4.67,55.67,42.73,0.16,25.70,186.92,
36.90,54.14,0.26,4.43,58.90,52.33,1.57,27.14,208.54,
30.69,59.97,0.26,4.48,54.03,50.82,0.17,37.98,200.41,
27.94,59.75,0.24,4.75,54.94,45.31,0.16,27.80,193.10,
28.97,58.40,0.18,3.14,59.39,49.79,0.21,27.03,200.09,
27.53,55.00,0.31,3.88,55.79,43.96,0.16,40.93,186.63,
35.62,57.11,0.28,4.96,53.31,50.07,0.25,26.37,201.59,
27.38,59.76,0.23,4.42,55.43,49.12,0.19,28.02,196.54,
27.51,61.61,0.41,4.42,51.43,42.90,0.16,36.94,188.45,
36.14,59.64,0.28,5.27,53.48,44.72,0.18,24.84,199.71,
30.57,60.07,0.30,5.19,53.93,39.34,0.16,25.73,189.55,
24.17,60.61,0.26,5.10,52.55,48.80,0.18,35.87,191.66,
30.97,58.29,0.28,4.52,52.85,50.78,0.22,26.97,197.92,
27.13,60.51,0.26,4.05,56.43,50.15,0.15,27.33,198.68,
37.81,55.90,0.40,4.63,50.63,40.49,0.13,37.18,189.98,
31.09,59.60,0.37,4.13,53.89,50.15,0.50,26.68,199.73,
26.79,60.59,1.04,3.79,55.57,53.75,0.26,29.24,201.78,
30.70,58.92,0.28,4.52,56.52,43.87,0.16,37.47,194.97,
35.02,56.94,0.26,4.32,56.87,51.59,0.18,26.06,205.16,
35.49,57.41,0.30,5.01,53.92,41.38,0.14,27.32,193.65,
25.34,46.03,0.25,4.51,59.09,48.42,0.44,39.78,184.08,
