SEL1,SEL2,GPO,RR1,RR2,RR3,RR4,GEN_AC,SEL1_MOD,SEL2_MOD,GPO_MOD,RR1_MOD,RR2_MOD,RR3_MOD,RR4_MOD,GEN_AC_MOD,RANGING
28.24,29.34,70.19,43.96,19.80,44.39,50.56,91.35,0.26,0.36,44.36,2.33,0.37,0.60,1.18,38.86,27.94
31.30,28.72,63.87,46.55,18.79,43.39,50.62,91.23,0.35,0.31,39.13,3.83,0.34,0.52,0.53,39.39,27.16
32.02,28.16,63.90,48.39,17.92,43.76,51.93,87.78,0.30,0.28,43.59,4.39,0.30,0.64,0.76,37.66,37.90
28.29,28.36,78.96,43.86,19.31,43.87,50.26,88.52,0.29,0.22,52.70,2.31,0.33,0.45,0.77,37.41,26.96
27.83,27.74,60.89,45.88,19.35,44.13,49.46,85.40,0.30,0.29,40.79,4.23,0.39,0.44,1.15,35.58,27.03
29.20,30.24,68.73,52.64,19.77,46.52,52.70,83.23,0.25,0.29,43.35,2.46,0.36,0.48,0.88,35.24,43.95
27.96,25.36,58.32,46.67,16.38,41.08,51.12,83.41,0.50,0.25,39.12,2.69,0.38,0.61,0.85,34.10,27.82
31.81,26.14,61.51,41.10,14.92,40.94,51.10,86.65,0.25,0.26,39.91,2.10,0.33,0.63,0.74,37.87,28.01
29.49,24.94,63.21,43.50,16.36,41.28,48.67,89.62,0.38,0.28,39.25,2.88,0.56,0.89,1.11,39.15,37.70
26.44,25.03,63.92,40.04,18.12,43.14,49.47,86.22,0.23,0.22,41.18,2.28,0.32,0.53,1.00,37.95,27.27
27.37,27.98,61.10,43.15,16.13,43.79,50.39,89.36,0.28,0.28,41.66,1.47,0.29,0.86,0.73,38.08,27.26
27.57,28.42,67.34,48.22,17.51,41.63,49.03,91.05,0.26,0.40,43.30,3.15,0.31,0.52,0.63,40.03,39.84
32.92,27.13,58.48,43.06,16.74,40.63,48.96,84.94,0.48,0.29,38.32,1.92,0.36,0.57,0.56,37.62,25.15
30.12,29.30,59.27,45.50,16.28,39.99,50.74,87.71,0.29,0.28,40.74,2.42,0.27,0.46,0.56,38.56,27.60
26.81,25.08,60.47,44.87,17.14,41.66,49.42,87.62,0.25,0.28,40.84,2.66,0.35,0.55,1.02,38.20,37.15
29.57,27.83,113.22,44.03,24.47,50.41,52.75,90.06,0.31,0.32,41.30,2.50,0.56,0.50,0.38,38.81,26.01
27.39,26.03,69.60,45.75,17.86,41.01,49.13,89.75,0.23,0.22,43.45,2.37,0.28,0.49,0.74,38.62,27.02
25.85,28.70,70.80,51.75,17.57,42.56,50.54,87.10,0.24,0.28,42.79,2.33,0.27,0.41,0.77,36.92,43.32
29.63,24.32,69.48,44.35,18.30,41.03,53.55,88.84,0.29,0.22,39.98,3.86,0.65,0.80,1.23,36.84,27.41
25.34,24.36,54.46,38.81,15.74,41.50,48.04,83.07,0.22,0.20,37.67,1.99,0.29,0.42,0.78,33.32,24.26
26.42,23.81,59.51,40.07,19.61,38.27,46.03,79.45,0.20,0.15,40.91,2.14,0.29,0.36,0.48,33.38,35.38
